Metric_Primary,Metric_Secondary,,Percentage
Number setting a quit date,Male,91717,100
Number who successfully quit (self-reported),Male,47450,52
Number who had not quit,Male,23677,26
Number not known/lost to follow up,Male,20590,22
Number who had successfully quit confirmed by CO validation,Male,34315,37
Number setting a quit date,Female,104045,100
Number who successfully quit (self-reported),Female,50163,48
Number who had not quit,Female,28959,28
Number not known/lost to follow up,Female,24923,24
Number who had successfully quit confirmed by CO validation,Female,35546,34
