Metric_Primary,Metric_Secondary,Value,Percentage,,,,,,
Number setting a quit date,Male,77068,100,,,,,,
Number who successfully quit (self-reported),Male,41641,54,,,,,,
Number who had not quit,Male,19462,25,,,,,,
Number not known/lost to follow up,Male,15965,21,,,,,,
Number who had successfully quit confirmed by CO validation,Male,29696,39,,,,,,
Number setting a quit date,Female,89812,100,,,,,,
Number who successfully quit (self-reported),Female,44526,50,,,,,,
Number who had not quit,Female,22098,28,,,,,,
Number not known/lost to follow up,Female,20188,22,,,,,,
Number who had successfully quit confirmed by CO validation,Female,30808,34,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
